iter	Passed	Remaining
399	85682	21420
400	85898	21206
401	86115	20993
402	86339	20781
403	86556	20567
404	86780	20355
405	86976	20137
406	87195	19924
407	87417	19711
408	87633	19498
409	87858	19286
410	88074	19072
411	88289	18857
412	88513	18645
413	88733	18432
414	88946	18217
415	89170	18005
416	89384	17791
417	89605	17578
418	89831	17365
419	90044	17151
420	90258	16936
421	90473	16722
422	90695	16509
423	90914	16296
424	91131	16082
425	91341	15866
426	91544	15650
427	91761	15436
428	91777	15189
429	91992	14975
430	92198	14760
431	92399	14544
432	92610	14330
433	92824	14116
434	93037	13902
435	93248	13687
436	93461	13473
437	93666	13258
438	93884	13045
439	94106	12832
440	94315	12618
441	94526	12403
442	94743	12190
443	94959	11976
444	95177	11763
445	95382	11548
446	95590	11334
447	95803	11119
448	96013	10905
449	96237	10693
450	96446	10478
451	96664	10265
452	96889	10052
453	97101	9838
454	97320	9625
455	97539	9411
456	97758	9198
457	97971	8984
458	98192	8771
459	98410	8557
460	98616	8342
461	98831	8129
462	99042	7914
463	99266	7701
464	99486	7488
465	99566	7264
466	99781	7050
467	99991	6837
468	100208	6623
469	100423	6410
470	100643	6196
471	100874	5984
472	101072	5769
473	101291	5556
474	101505	5342
475	101588	5122
476	101806	4908
477	102017	4695
478	102224	4481
479	102427	4267
480	102638	4054
481	102846	3840
482	102857	3620
483	103071	3407
484	103289	3194
485	103505	2981
486	103713	2768
487	103934	2555
488	104141	2342
489	104357	2129
490	104571	1916
491	104785	1703
492	105006	1490
493	105224	1278
494	105442	1065
495	105665	852
496	105879	639
497	106087	426
498	106309	213
499	106527	0
